quote_text,author,tags,likes
Cry. Forgive. Learn. Move on. Let your tears water the seeds of your future happiness.,Steve Maraboli,"['cry', 'forgive', 'happiness', 'inspiration', 'learn', 'letting-go', 'life', 'motivational', 'moving-on', 'seeds', 'success', 'tears', 'water']",0
You never change your life until you step out of your comfort zone; change begins at the end of your comfort zone.,Roy T. Bennett,"['achievement', 'change', 'comfort-zone', 'courage', 'dream', 'dreams', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'leader', 'leaders', 'leadership', 'life', 'life-quotes', 'living', 'motivation', 'motivational', 'start-up', 'step-out-of-your-comfort-zone']",0
"Do not let the memories of your past limit the potential of your future. There are no limits to what you can achieve on your journey through life, except in your mind.","Roy T. Bennett,","['future', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'limit', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'potential']",0
Let the improvement of yourself keep you so busy that you have no time to criticize others.,"Roy T. Bennett,","['improvement', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'leadership', 'learning', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'success']",0
Incredible change happens in your life when you decide to take control of what you do have power over instead of craving control over what you don't.,"Steve Maraboli,","['change', 'control', 'empowerment', 'inspirational', 'letting-go', 'life', 'motivational']",0
Believe in your infinite potential. Your only limitations are those you set upon yourself.,"Roy T. Bennett,","['believe', 'believe-in-yourself', 'confidence', 'empowerment', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-quotes', 'limitations', 'limits', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'potential', 'spiritual-growth', 'spirituality', 'talents']",0
"Happiness is not the absence of problems, it's the ability to deal with them.","Steve Maraboli,","['empowerment', 'happiness', 'inspirational', 'life-lessons', 'motivational', 'problems']",0
The only way of discovering the limits of the possible is to venture a little way past them into the impossible.,Arthur C. Clarke,['motivational'],0
"Surround Yourself with People Who Believe in Your Dreams:
Surround yourself with people who believe in your dreams, encourage your ideas, support your ambitions, and bring out the best in you.","Roy T. Bennett,","['ambition', 'dream', 'dreams', 'encourage', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']",0
"Learn the rules like a pro, so you can break them like an artist.",Pablo Picasso,"['art', 'creativity', 'motivational', 'picasso', 'rules', 'writing']",0
"Sometimes life knocks you on your ass... get up, get up, get up!!! Happiness is not the absence of problems, it's the ability to deal with them.","Steve Maraboli,","['ability', 'action', 'gratitude', 'happiness', 'inspirational', 'life', 'motivational', 'moving-forward', 'problems', 'success']",0
"Do what you love, love what you do, and with all your heart give yourself to it.","Roy T. Bennett,","['do', 'doing', 'heart', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'love', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']",0
"Once you realize you deserve a bright future, letting go of your dark past is the best choice you will ever make.","Roy T. Bennett,","['choice', 'future', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'letting-go', 'letting-go-and-moving-on', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']",0
Without ambition one starts nothing. Without work one finishes nothing. The prize will not be sent to you. You have to win it.,Ralph Waldo Emerson,"['motivational', 'work']",0
"If you believe very strongly in something, stand up and fight for it.","Roy T. Bennett,","['believe', 'believe-in-yourself', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quote', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-philosophy', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']",0
It's never too late to change your life for the better. You don't have to take huge steps to change your life. Making even the smallest changes to your daily routine can make a big difference to your life.,"Roy T. Bennett,","['change', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']",0
"Always remember people who have helped you along the way, and don’t forget to lift someone up.","Roy T. Bennett,","['gratitude', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'leader', 'leadership', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']",0
"The biggest wall you have to climb is the one you build in your mind: Never let your mind talk you out of your dreams, trick you into giving up. Never let your mind become the greatest obstacle to success. To get your mind on the right track, the rest will follow.","Roy T. Bennett,","['dream', 'dreams', 'dreams-quotes', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'mind', 'mind-quotes', 'motivation', 'motivational', 'obstacle', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'success', 'success-quotes']",0
"Maturity is when you stop complaining and making excuses, and start making changes.","Roy T. Bennett,","['change', 'choice', 'choices', 'excuse', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']",0
"When in a relationship, a real man doesn't make his woman jealous of others, he makes others jealous of his woman.","Steve Maraboli,","['boyfriend', 'girlfriend', 'inspirational', 'jealous', 'life', 'love', 'marriage', 'men', 'motivational', 'relationship', 'women']",0
What's done is done. What's gone is gone. One of life's lessons is always moving on. It’s okay to look back to see how far you’ve come but keep moving forward.,"Roy T. Bennett,","['inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'keep-going', 'keep-moving-forward', 'life', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']",0
Strong people have a strong sense of self-worth and self-awareness; they don’t need the approval of others.,"Roy T. Bennett,","['inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'self-awareness', 'self-worth', 'strong']",0
"Never stop dreaming,
never stop believing,
never give up,
never stop trying, and
never stop learning.","Roy T. Bennett,","['believe', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'learning', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'never-give-up', 'never-stop-believing', 'never-stop-dreaming', 'never-stop-learning', 'never-stop-trying', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'success']",0
"When the going gets tough, put one foot in front of the other and just keep going. Don’t give up.","Roy T. Bennett,","['adversity', 'challenge', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'keep-going', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'never-give-up', 'optimism', 'optimistic', 'persistence', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']",0
"Stop giving other people the power to control your happiness, your mind, and your life. If you don't take control of yourself and your own life, someone else is bound to try.","Roy T. Bennett,","['happiness', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'mind', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']",0
"At the end of the day, let there be no excuses, no explanations, no regrets.","Steve Maraboli,","['appreciation', 'excuses', 'gratitude', 'inspirational', 'life', 'motivational', 'no-regrets', 'seize-the-day', 'success']",0
"We all make mistakes, have struggles, and even regret things in our past. But you are not your mistakes, you are not your struggles, and you are here NOW with the power to shape your day and your future.","Steve Maraboli,","['inspirational', 'life', 'living-now', 'mistakes', 'motivational', 'regret', 'self-empowerment', 'struggles']",0
"If you have a strong purpose in life, you don't have to be pushed. Your passion will drive you there.","Roy T. Bennett,","['inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'leadership', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'passion', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'purpose']",0
"Patience Is Not the Ability to Wait:
Patience is not the ability to wait. Patience is to be calm no matter what happens, constantly take action to turn it to positive growth opportunities, and have faith to believe that it will all work out in the end while you are waiting.","Roy T. Bennett,","['calm', 'faith', 'growth', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'opportunity', 'optimism', 'optimistic', 'patience', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']",0
"Whatever the mind can conceive and believe, it can achieve.","Napoleon Hill,","['inspirational', 'motivational', 'success']",0
"Although the world is full of suffering, it is full also of the overcoming of it.",Helen Keller,['motivational'],0
"I will not try to convince you to love me, to respect me, to commit to me. I deserve better than that; I AM BETTER THAN THAT...Goodbye.","Steve Maraboli,","['breakup', 'commit', 'deserve', 'goodbye', 'happiness', 'inspirational', 'life', 'love', 'motivational', 'relationship', 'respect']",0
You must learn to let go. Release the stress. You were never in control anyway.,"Steve Maraboli,","['control', 'inspirational', 'letting-go', 'life', 'motivational', 'stress']",0
"However mean your life is, meet it and live it; do not shun it and call it hard names. It is not so bad as you are. It looks poorest when you are richest. The fault-finder will find faults even in paradise. Love your life, poor as it is. You may perhaps have some pleasant, thrilling, glorious hours, even in a poorhouse. The setting sun is reflected from the windows of the almshouse as brightly as from the rich man's abode; the snow melts before its door as early in the spring. I do not see but a quiet mind may live as contentedly there, and have as cheering thoughts, as in a palace.","Henry David Thoreau,","['inspirational', 'motivational']",0
"Make a pact with yourself today to not be defined by your past. Sometimes the greatest thing to come out of all your hard work isn't what you get for it, but what you become for it. Shake things up today! Be You...Be Free...Share.","Steve Maraboli,","['action', 'authenticity', 'gratitude', 'hard-work', 'inspirational', 'life', 'life-lessons', 'motivational', 'success']",0
"The strongest people find the courage and caring to help others, even if they are going through their own storm.","Roy T. Bennett,","['courage', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'strong']",0
The surest way to make your dreams come true is to live them.,Roy T. Bennett,"['dream', 'dream-comes-true', 'dreams', 'dreams-come-true', 'dreams-quotes', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-quotes', 'living', 'living-life', 'motivational', 'motivational-inspirational', 'positive-affirmation', 'positive-life', 'positive-thinking', 'positivity']",0
"Action may not always bring happiness, but there is no happiness without action.",William James,"['action', 'happiness', 'motivational', 'work']",0
Circumstances are the rulers of the weak; they are but the instruments of the wise.,"Samuel Lover,",['motivational'],0
"Courage is feeling fear, not getting rid of fear, and taking action in the face of fear.","Roy T. Bennett,","['courage', 'fear', 'fearless', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']",0
Do not let arrogance go to your head and despair to your heart; do not let compliments go to your head and criticisms to your heart; do not let success go to your head and failure to your heart.,"Roy T. Bennett,","['arrogance', 'compliment', 'criticism', 'despair', 'failure', 'heart', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'success']",0
"You cannot change anyone, but you can be the reason someone changes.","Roy T. Bennett,","['change', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']",0
"You are unique. You have different talents and abilities. You don’t have to always follow in the footsteps of others. And most important, you should always remind yourself that you don't have to do what everyone else is doing and have a responsibility to develop the talents you have been given.","Roy T. Bennett,","['ability', 'be-yourself', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'talent']",0
"Each day brings new opportunities, allowing you to constantly live with love—be there for others—bring a little light into someone's day. Be grateful and live each day to the fullest.","Roy T. Bennett,","['gratitude', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'light', 'live-life-to-the-fullest', 'living', 'love', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']",0
"Do not stop thinking of life as an adventure. You have no security unless you can live bravely, excitingly, imaginatively; unless you can choose a challenge instead of competence.","Eleanor Roosevelt,","['inspirational', 'motivational', 'women']",0
"If you hang out with chickens, you're going to cluck and if you hang out with eagles, you're going to fly.","Steve Maraboli,","['accountability', 'friends', 'inspirational', 'life', 'motivational', 'purpose', 'responsibility', 'success']",0
"To have what you have never had, you have to do what you have never done.","Roy T. Bennett,","['action', 'courage-quotes', 'courageous', 'doing', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']",0
"Live the Life of Your Dreams
When you start living the life of your dreams, there will always be obstacles, doubters, mistakes and setbacks along the way. But with hard work, perseverance and self-belief there is no limit to what you can achieve.","Roy T. Bennett,","['achievement', 'act', 'action', 'being-positive', 'belief', 'believe-in-yourself', 'do', 'doing', 'dreams', 'hard-work', 'inspiration', 'inspirational', 'life', 'live', 'living', 'living-life', 'mistakes', 'motivation', 'motivational', 'obstacles', 'optimism', 'optimistic', 'perseverance', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'self-belief', 'setbacks', 'start', 'startup']",0
You are the average of the five people you spend the most time with.,Jim Rohn,"['motivational', 'reflective']",0
"People are always blaming their circumstances for what they are. I don't believe in circumstances. The people who get on in this world are the people who get up and look for the circumstances they want, and if they can't find them, make them.","George Bernard Shaw,","['motivational', 'overcoming-obstacles']",0
"You Are the Master of Your Attitude

You cannot control what happens to you, but you can control the way you think about all the events. You always have a choice. You can choose to face them with a positive mental attitude.","Roy T. Bennett,","['attitude', 'choice', 'choices', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']",0
"Get Off The Scale!

You are beautiful. Your beauty, just like your capacity for life, happiness, and success, is immeasurable. Day after day, countless people across the globe get on a scale in search of validation of beauty and social acceptance.

Get off the scale! I have yet to see a scale that can tell you how enchanting your eyes are. I have yet to see a scale that can show you how wonderful your hair looks when the sun shines its glorious rays on it. I have yet to see a scale that can thank you for your compassion, sense of humor, and contagious smile. Get off the scale because I have yet to see one that can admire you for your perseverance when challenged in life.

It’s true, the scale can only give you a numerical reflection of your relationship with gravity. That’s it. It cannot measure beauty, talent, purpose, life force, possibility, strength, or love. Don’t give the scale more power than it has earned. Take note of the number, then get off the scale and live your life. You are beautiful!","Steve Maraboli,","['beauty', 'inspirational', 'life', 'motivational', 'scale', 'self-empowerment', 'self-image', 'weight-loss']",0
"Renew, release, let go. Yesterday’s gone. There’s nothing you can do to bring it back. You can’t should’ve","Steve Maraboli,","['action', 'attachment', 'change', 'inspirational', 'letting-go', 'life', 'live-now', 'motivational', 'success', 'today']",0
"The most important step a man can take. It's not the first one, is it?
It's the next one. Always the next step, Dalinar.","Brandon Sanderson,","['inspirational', 'motivational']",0
How would your life be different if…You walked away from gossip and verbal defamation? Let today be the day…You speak only the good you know of other people and encourage others to do the same.,"Steve Maraboli,","['encouragement', 'friends', 'gossip', 'inspirational', 'life', 'motivational', 'relationships']",0
"LAW 4
Always Say Less Than Necessary

When you are trying to impress people with words, the more you say, the more common you appear, and the less in control. Even if you are saying something banal, it will seem original if you make it vague, open-ended, and sphinxlike. Powerful people impress and intimidate by saying less. The more you say, the more likely you are to say something foolish.","Robert Greene,","['inspirational', 'motivational']",0
"Forget yesterday - it has already forgotten you. Don't sweat tomorrow - you haven't even met. Instead, open your eyes and your heart to a truly precious gift - today.","Steve Maraboli,","['appreciation', 'change', 'gratitude', 'inspirational', 'life', 'live-now', 'motivational', 'success', 'today']",0
"Don’t let others tell you what you can’t do. Don't let the limitations of others limit your vision. If you can remove your self-doubt and believe in yourself, you can achieve what you never thought possible.","Roy T. Bennett,","['achievement', 'believe', 'believe-in-yourself', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'self-doubt', 'vision']",0
"You have to accept whatever comes, and the only important thing is that you meet it with the best you have to give.",Eleanor Roosevelt,['motivational'],0
Don't wish it were easier. Wish you were better.,Jim Rohn,"['hard-work', 'motivational']",0
"I want to live my life in such a way that when I get out of bed in the morning, the devil says, ""aw shit, he's up!","Steve Maraboli,","['aspirations', 'devil', 'goodness', 'inspirational', 'life', 'live', 'morning', 'motivational', 'purpose']",0
"Great leaders create more leaders, not followers.","Roy T. Bennett,","['inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'leaders', 'leadership', 'life', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic']",0
"In the end, you have to choose whether or not to trust someone.","Sophie Kinsella,","['human-nature', 'inspirational', 'literature', 'motivational', 'trust']",0
"If you don’t give up on something you truly believe in, you will find a way.",Roy T. Bennett,"['believe', 'believe-in-yourself', 'don-t-give-up', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-quotes', 'living', 'motivation', 'motivational', 'never-give-up', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']",0
"Don't fear failure. — Not failure, but low aim, is the crime. In great attempts it is glorious even to fail.","Bruce Lee,","['fear', 'motivational']",0
